,target,age,internet_activity_score,employee_count,employees_count_mom_change,has_the_team_size_grown,last_funding_amount,number_of_investors_in_seed,number_of_investors_in_angel_and_or_vc,number_of_co-founders,number_of_of_advisors,team_size_senior_leadership,team_size_all_employees,prev_round_angel_venture,number_of_of_repeat_investors,number_of__sales_support_material,worked_in_top_companies,average_size_of_companies_worked_for_in_the_past,startup_presence,success_startup_presence,big_5_consulting,consulting_experience?,catering_to_product/service_across_verticals,focus_on_consumer_data?,subscription_based_business,capital_intensive,number_of__of_partners_of_company,crowdsourcing_based_business,crowdfunding_based_business,machine_learning_based_business,predictive_analytics_business,speech_analytics_business,prescriptive_analytics_business,big_data_business,cross-channel_analytics/_marketing_channels,owns_data,aggregator_market,top_forum_talk,founders_avg_exp,exposure_across_the_globe,breadth_of_experience_across_verticals,years_of_education,relevance_of_education_to_venture,relevance_of_experience_to_venture,degree_from_a_tier_1_or_tier_2_university?,renowned_in_professional_circle,experience_in_selling_and_building_products,experience_in_fortune_100_organizations,experience_in_fortune_500_organizations,top_management_similarity,founders_recognitions,number_of__of_research_publications,skills_score,team_composition_score,dificulty_of_obtaining_work_force,pricing_strategy,hyper_localisation,time_to_market_service_or_product,employee_benefits_and_salary_structures,long_term_relationship_with_other_founders,proprietary_or_patent_position_(competitive_position),barriers_of_entry_for_the_competitors,company_awards,controversial_history_of_founder_or_co_founder,legal_risk_and_intellectual_property,client_reputation,google_page_rank_of_company_website,analyse_unstructured_data,solutions_offered,invested_through_global_incubation_competitions?,industry_trend_in_investing,disruptiveness_of_technology,number_of_direct_competitors,avg_inv,tech_maturity_years,percent_skill_entrepreneurship,percent_skill_operations,percent_skill_engineering,percent_skill_marketing,percent_skill_leadership,percent_skill_data_science,percent_skill_business_strategy,percent_skill_product_management,percent_skill_sales,percent_skill_domain,percent_skill_law,percent_skill_consulting,percent_skill_finance,percent_skill_investment,renown_score,continent_of_company_asia,continent_of_company_europe,continent_of_company_north america,continent_of_company_south america,product_or_service_company?_both,product_or_service_company?_product,product_or_service_company?_service,focus_on_private_or_public_data?_both,focus_on_private_or_public_data?_no,focus_on_private_or_public_data?_private,focus_on_private_or_public_data?_public,focus_on_structured_or_unstructured_data_both,focus_on_structured_or_unstructured_data_no,focus_on_structured_or_unstructured_data_not applicable,focus_on_structured_or_unstructured_data_structured,focus_on_structured_or_unstructured_data_unstructured,cloud_or_platform_based_serive/product?_both,cloud_or_platform_based_serive/product?_cloud,cloud_or_platform_based_serive/product?_none,cloud_or_platform_based_serive/product?_platform,local_or_global_player_global,local_or_global_player_local,local_or_global_player_local  ,linear_or_non-linear_business_model_linear,linear_or_non-linear_business_model_non-linear,online_offline_both,online_offline_offline,online_offline_online,b2c_or_b2b_venture?_b2b,b2c_or_b2b_venture?_b2c,highest_education_bachelors,highest_education_masters,highest_education_phd,gartner_hype_cycle_stage_peak,gartner_hype_cycle_stage_plateau,gartner_hype_cycle_stage_slope,gartner_hype_cycle_stage_trigger,gartner_hype_cycle_stage_trough
0,1,4.0,-1.0,3.0,0.0,0,450000.0,2.0,0.0,1,2,2,15.0,1,4.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,21.0,1,1,3,500.0,2,0.0,0.0,0,0.0,0,0.0,1,1,1,0,3,1,0,0,1,0,0,0,1,9626884.0,0,1,0,2.0,1,0.0,11.56,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
1,1,3.0,125.0,0.0,0.0,0,1000000.0,5.0,0.0,2,0,4,20.0,0,0.0,2,1,3,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,3,1,3,21.0,1,1,3,500.0,3,0.0,0.0,2,13.0,0,34.0,3,2,1,0,1,1,0,1,1,0,0,1,2,1067034.0,1,1,0,3.0,2,0.0,9.0,2,15.88235294,11.76470588,15.0,12.94117647,0.0,8.823529412000001,21.76470588,10.88235294,2.9411764710000003,0.0,0.0,0.0,0.0,0.0,8.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
2,1,3.0,455.0,14.0,0.0,0,2350000.0,15.0,0.0,3,0,7,10.0,0,0.0,1,1,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,2,1,1,18.0,1,1,2,500.0,3,0.0,0.0,2,18.0,0,36.0,3,2,1,0,1,1,1,1,1,0,0,0,1,71391.0,1,1,1,3.0,2,0.0,7.344444444,2,9.401709402,0.0,57.47863248,0.0,0.0,3.8461538460000004,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
3,1,5.0,-99.0,45.0,10.0,0,10250000.0,6.0,0.0,2,0,4,50.0,1,0.0,1,0,3,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,18.0,1,1,2,500.0,1,0.0,0.0,2,2.0,0,15.5,2,2,1,0,1,2,0,1,1,0,0,0,1,11847.0,0,1,1,4.0,2,2.0,8.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
4,1,4.0,496.0,39.0,3.0,0,5500000.0,7.0,0.0,1,1,8,40.0,0,0.0,3,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,1,2,18.0,1,1,1,500.0,3,0.0,0.0,1,5.0,1,23.0,2,2,1,0,1,1,1,1,1,0,0,0,1,201814.0,1,1,0,3.0,2,0.0,9.822222222,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
5,1,4.0,106.0,14.0,8.0,0,1000000.0,2.0,0.0,4,0,4,14.0,0,2.0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,1,2,21.0,0,0,1,500.0,1,0.0,0.0,1,5.0,0,25.0,2,2,1,0,1,2,0,1,0,1,0,0,3,591816.0,1,1,1,4.0,3,0.0,9.322222222,2,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
6,1,3.0,39.0,7.0,0.0,0,2000000.0,7.0,0.0,2,9,2,15.0,0,4.0,2,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,3,1,2,25.0,1,1,1,500.0,1,0.0,0.0,1,1.0,0,21.0,2,2,1,0,2,1,0,0,1,0,0,1,1,2345574.0,1,1,0,3.0,2,0.0,7.311111111000001,2,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
7,1,4.0,139.0,29.0,-12.0,0,6700000.0,0.0,0.0,3,4,4,40.0,0,0.0,2,0,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,3,1,2,21.0,1,1,3,500.0,2,0.0,0.0,3,5.0,1,4.5,2,2,1,0,1,1,0,0,1,0,0,0,1,1015027.0,1,1,0,3.0,2,0.0,6.4,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
8,1,3.0,306.0,16.0,45.0,0,11000000.0,13.0,0.0,2,0,2,50.0,0,0.0,2,1,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,1,3,21.0,1,1,3,500.0,3,0.0,0.0,2,13.0,0,48.0,1,2,0,0,1,1,0,1,0,0,0,0,1,256921.0,1,1,0,3.0,2,0.0,12.0,2,8.333333332999999,0.0,46.73202614,5.718954247999999,8.333333332999999,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
9,1,1.0,53.0,3.0,0.0,0,3000000.0,0.0,0.0,3,4,3,3.0,0,0.0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,3,25.0,1,1,3,500.0,3,0.0,0.0,2,1.0,0,25.5,2,3,1,0,2,1,1,0,1,0,0,1,1,3639779.0,0,1,0,1.0,1,0.0,5.0,1,8.333333332999999,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
